Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
    75.0,  3.187211E-2,     4.40425,          NaN,         NaN, 2.026174E-11,    11.58227,          NaN,         NaN
    76.0,  3.566837E-2,     4.46476,          NaN,         NaN, 1.926377E-11,    11.79551,          NaN,         NaN
    77.0,  3.864251E-2,     4.53695,          NaN,         NaN, 1.820021E-11,    12.01036,          NaN,         NaN
    78.0,  4.073976E-2,     4.61472,          NaN,         NaN, 1.706851E-11,    12.22726,          NaN,         NaN
    79.0,  4.194151E-2,     4.69395,          NaN,         NaN, 1.586741E-11,    12.44692,          NaN,         NaN
    80.0,  4.225980E-2,     4.77140,          NaN,         NaN, 1.459777E-11,    12.67049,          NaN,         NaN
    81.0,  4.173631E-2,     4.84396,          NaN,         NaN, 1.326341E-11,    12.89977,          NaN,         NaN
    82.0,  4.044461E-2,     4.90821,          NaN,         NaN, 1.187247E-11,    13.13754,          NaN,         NaN
    83.0,  3.849575E-2,     4.95994,          NaN,         NaN, 1.043944E-11,    13.38829,          NaN,         NaN
    84.0,  3.604861E-2,     4.99370,          NaN,         NaN, 8.988994E-12,    13.65943,          NaN,         NaN
    85.0,  3.332689E-2,     5.00250,          NaN,         NaN, 7.563699E-12,    13.96349,          NaN,         NaN
    86.0,  3.064276E-2,     4.97812,          NaN,         NaN, 6.240116E-12,    14.32155,          NaN,         NaN
    87.0,  2.841640E-2,     4.91372,          NaN,         NaN, 5.159082E-12,    14.76412,          NaN,         NaN
    88.0,  2.715173E-2,     4.81039,          NaN,         NaN, 4.550601E-12,    15.30888,          NaN,         NaN
    89.0,  2.730489E-2,     4.68504,          NaN,         NaN, 4.634491E-12,    15.89796,          NaN,         NaN
    90.0,  2.907092E-2,     4.56745,          NaN,         NaN, 5.380661E-12,    16.42044,          NaN,         NaN
    91.0,  3.229328E-2,     4.48268,          NaN,         NaN, 6.548668E-12,    16.83860,          NaN,         NaN
    92.0,  3.660073E-2,     4.43935,          NaN,         NaN, 7.922111E-12,    17.17717,          NaN,         NaN
    93.0,  4.159423E-2,     4.43368,          NaN,         NaN, 9.369277E-12,    17.46528,          NaN,         NaN
    94.0,  4.693764E-2,     4.45776,          NaN,         NaN, 1.081252E-11,    17.72203,          NaN,         NaN
    95.0,  5.236976E-2,     4.50404,          NaN,         NaN, 1.220169E-11,    17.95878,          NaN,         NaN
    96.0,  5.769000E-2,     4.56657,          NaN,         NaN, 1.350081E-11,    18.18238,          NaN,         NaN
    97.0,  6.274251E-2,     4.64099,          NaN,         NaN, 1.468203E-11,    18.39712,          NaN,         NaN
    98.0,  6.740481E-2,     4.72414,          NaN,         NaN, 1.572283E-11,    18.60587,          NaN,         NaN
    99.0,  7.158036E-2,     4.81371,          NaN,         NaN, 1.660486E-11,    18.81065,          NaN,         NaN
   100.0,  7.519412E-2,     4.90799,          NaN,         NaN, 1.731347E-11,    19.01300,          NaN,         NaN
   101.0,  7.818964E-2,     5.00571,          NaN,         NaN, 1.783757E-11,    19.21416,          NaN,         NaN
   102.0,  8.052714E-2,     5.10586,          NaN,         NaN, 1.816981E-11,    19.41526,          NaN,         NaN
   103.0,  8.218212E-2,     5.20764,          NaN,         NaN, 1.830671E-11,    19.61734,          NaN,         NaN
   104.0,  8.314414E-2,     5.31039,          NaN,         NaN, 1.824911E-11,    19.82153,          NaN,         NaN
   105.0,  8.341577E-2,     5.41354,          NaN,         NaN, 1.800251E-11,    20.02904,          NaN,         NaN
   106.0,  8.301145E-2,     5.51658,          NaN,         NaN, 1.757772E-11,    20.24128,          NaN,         NaN
   107.0,  8.195633E-2,     5.61904,          NaN,         NaN, 1.699164E-11,    20.45997,          NaN,         NaN
   108.0,  8.028510E-2,     5.72048,          NaN,         NaN, 1.626832E-11,    20.68719,          NaN,         NaN
   109.0,  7.804068E-2,     5.82043,          NaN,         NaN, 1.544051E-11,    20.92550,          NaN,         NaN
   110.0,  7.527298E-2,     5.91839,          NaN,         NaN, 1.455159E-11,    21.17797,          NaN,         NaN
   111.0,  7.203760E-2,     6.01383,          NaN,         NaN, 1.365785E-11,    21.44799,          NaN,         NaN
   112.0,  6.839467E-2,     6.10612,          NaN,         NaN, 1.283017E-11,    21.73875,          NaN,         NaN
   113.0,  6.440783E-2,     6.19452,          NaN,         NaN, 1.215304E-11,    22.05190,          NaN,         NaN
   114.0,  6.014347E-2,     6.27809,          NaN,         NaN, 1.171692E-11,    22.38559,          NaN,         NaN
   115.0,  5.567046E-2,     6.35566,          NaN,         NaN, 1.160071E-11,    22.73268,          NaN,         NaN
   116.0,  5.106056E-2,     6.42566,          NaN,         NaN, 1.184836E-11,    23.08132,          NaN,         NaN
   117.0,  4.638998E-2,     6.48599,          NaN,         NaN, 1.245371E-11,    23.41891,          NaN,         NaN
   118.0,  4.174259E-2,     6.53376,          NaN,         NaN, 1.336550E-11,    23.73661,          NaN,         NaN
   119.0,  3.721592E-2,     6.56499,          NaN,         NaN, 1.450761E-11,    24.03103,          NaN,         NaN
   120.0,  3.293105E-2,     6.57430,          NaN,         NaN, 1.579915E-11,    24.30294,          NaN,         NaN
   121.0,  2.904717E-2,     6.55481,          NaN,         NaN, 1.716614E-11,    24.55520,          NaN,         NaN
   122.0,  2.577814E-2,     6.49933,          NaN,         NaN, 1.854553E-11,    24.79116,          NaN,         NaN
   123.0,  2.339567E-2,     6.40418,          NaN,         NaN, 1.988508E-11,    25.01397,          NaN,         NaN
   124.0,  2.218341E-2,     6.27664,          NaN,         NaN, 2.114191E-11,    25.22623,          NaN,         NaN
   125.0,  2.231821E-2,     6.13936,          NaN,         NaN, 2.228099E-11,    25.43009,          NaN,         NaN
   126.0,  2.375814E-2,     6.02115,          NaN,         NaN, 2.327390E-11,    25.62721,          NaN,         NaN
   127.0,  2.627048E-2,     5.94047,          NaN,         NaN, 2.409789E-11,    25.81892,          NaN,         NaN
   128.0,  2.956631E-2,     5.90064,          NaN,         NaN, 2.473529E-11,    26.00627,          NaN,         NaN
