pos	X
58.305	4.82034e-11
58.31	4.97951e-11
58.315	5.04772e-11
58.32	5.04772e-11
58.325	4.97951e-11
58.33	4.86582e-11
58.335	4.70666e-11
58.34	4.45655e-11
58.345	4.16096e-11
58.35	3.79716e-11
58.355	3.4561e-11
58.36	3.0923e-11
58.365	2.70576e-11
58.37	2.25101e-11
58.375	1.86448e-11
58.38	1.43246e-11
58.385	1.04592e-11
58.39	6.36649e-12
58.395	2.7285e-12
58.4	-9.09502e-13
58.405	-4.09275e-12
58.41	-7.27601e-12
58.415	-1.06866e-11
58.42	-1.38698e-11
58.425	-1.65984e-11
58.43	-1.90995e-11
58.435	-2.13732e-11
58.44	-2.31922e-11
58.445	-2.50112e-11
58.45	-2.68302e-11
58.455	-2.81944e-11
58.46	-2.91041e-11
58.465	-2.97862e-11
58.47	-3.04683e-11
58.475	-3.06957e-11
58.48	-3.04683e-11
58.485	-3.02409e-11
58.49	-2.97862e-11
58.495	-2.91041e-11
58.5	-2.77397e-11
58.505	-2.63755e-11
58.51	-2.50112e-11
58.515	-2.31922e-11
58.52	-2.13732e-11
58.525	-1.93269e-11
58.53	-1.70531e-11
58.535	-1.50068e-11
58.54	-1.25056e-11
58.545	-1.04592e-11
58.55	-8.18551e-12
58.555	-5.68437e-12
58.56	-3.63801e-12
58.565	-2.04638e-12
58.57	0.0
58.575	1.36425e-12
58.58	3.18325e-12
58.585	4.32013e-12
58.59	5.68437e-12
58.595	6.82124e-12
58.6	7.73076e-12
58.605	8.18551e-12
58.61	8.64026e-12
58.615	9.32238e-12
58.62	9.32238e-12
58.625	9.32238e-12
58.63	9.32238e-12
58.635	9.095e-12
58.64	8.86763e-12
58.645	8.18551e-12
58.65	7.95813e-12
58.655	7.27601e-12
58.66	7.04861e-12
58.665	6.13912e-12
58.67	5.457e-12
58.675	5.00225e-12
58.68	4.32013e-12
58.685	3.63801e-12
58.69	2.95587e-12
58.695	2.27375e-12
58.7	1.59162e-12
58.705	1.13688e-12
58.71	4.54751e-13
58.715	0.0
58.72	-6.82124e-13
58.725	-1.36425e-12
58.73	-1.819e-12
58.735	-2.04638e-12
58.74	-2.04638e-12
58.745	-2.50112e-12
58.75	-2.50112e-12
58.755	-2.95587e-12
58.76	-2.95587e-12
58.765	-3.18325e-12
58.77	-2.95587e-12
58.775	-2.95587e-12
58.78	-2.7285e-12
58.785	-2.50112e-12
58.79	-2.50112e-12
58.795	-2.27375e-12
58.8	-2.04638e-12
58.805	-2.04638e-12
58.81	-1.819e-12
58.815	-1.59162e-12
58.82	-1.36425e-12
58.825	-1.36425e-12
58.83	-9.09502e-13
58.835	-6.82124e-13
58.84	-6.82124e-13
58.845	-4.54751e-13
58.85	-2.27375e-13
58.855	-2.27375e-13
58.86	0.0
58.865	0.0
58.87	0.0
58.875	0.0
58.88	0.0
58.885	0.0
58.89	2.27375e-13
58.895	4.54751e-13
58.9	2.27375e-13
58.905	0.0
58.91	-2.27375e-13
58.915	-2.27375e-13
58.92	-2.27375e-13
58.925	-2.27375e-13
58.93	-2.27375e-13
58.935	-2.27375e-13
58.94	-2.27375e-13
58.945	0.0
58.95	-2.27375e-13
58.955	-2.27375e-13
58.96	-6.82124e-13
58.965	-6.82124e-13
58.97	-4.54751e-13
58.975	-2.27375e-13
58.98	0.0
58.985	0.0
58.99	0.0
58.995	2.27375e-13
59.0	0.0
59.005	2.27375e-13
59.01	2.27375e-13
59.015	2.27375e-13
59.02	2.27375e-13
59.025	4.54751e-13
59.03	4.54751e-13
59.035	4.54751e-13
59.04	4.54751e-13
59.045	4.54751e-13
59.05	6.82124e-13
59.055	6.82124e-13
59.06	9.09502e-13
59.065	9.09502e-13
59.07	9.09502e-13
59.075	9.09502e-13
59.08	9.09502e-13
59.085	1.13688e-12
59.09	9.09502e-13
59.095	9.09502e-13
59.1	9.09502e-13
59.105	9.09502e-13
59.11	9.09502e-13
59.115	1.13688e-12
59.12	1.13688e-12
59.125	1.13688e-12
59.13	1.13688e-12
59.135	9.09502e-13
59.14	1.13688e-12
59.145	1.13688e-12
59.15	1.13688e-12
59.155	1.13688e-12
59.16	1.13688e-12
59.165	9.09502e-13
59.17	9.09502e-13
59.175	1.13688e-12
59.18	9.09502e-13
59.185	1.13688e-12
59.19	1.13688e-12
59.195	1.13688e-12
59.2	1.13688e-12
59.205	1.13688e-12
59.21	1.13688e-12
59.215	9.09502e-13
59.22	6.82124e-13
59.225	9.09502e-13
59.23	9.09502e-13
59.235	9.09502e-13
59.24	1.13688e-12
59.245	9.09502e-13
59.25	6.82124e-13
59.255	9.09502e-13
59.26	1.13688e-12
59.265	9.09502e-13
59.27	9.09502e-13
59.275	9.09502e-13
59.28	9.09502e-13
59.285	9.09502e-13
59.29	9.09502e-13
59.295	9.09502e-13
59.3	6.82124e-13
59.305	9.09502e-13
59.31	9.09502e-13
59.315	9.09502e-13
59.32	9.09502e-13
59.325	6.82124e-13
